isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780060925819,0060925817,"Cathedral, Forge and Waterwheel",not available,Joseph Gies,History,http://books.google.com/books/content?id=Rw0oTHwz264C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An illuminating look at the monumental inventions of the Middle Ages, by the authors of Life in a Medieval Castle.",1995.0,3.85,368.0,612.0
9780060926960,0060926961,The Throne of the Third Heaven of the Nations Millennium General Assembly,Poems Collected and New,Denis Johnson,Poetry,http://books.google.com/books/content?id=RCRllwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the award-winning poet and novelist—a must-have collection of his four previous books of poetry plus a selection of new, unpublished work.",1996.0,4.16,240.0,556.0
9780060927516,0060927518,Testaments Betrayed,"Essay in Nine Parts, An",Milan Kundera,Literary Collections,http://books.google.com/books/content?id=gWzdD3wGV8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Milan Kundera has established himself as one of the great novelists of our time with such books as The Unbearable Lightness of Being, Immortality and The Book of Laughter and Forgetting. In Testaments Betrayed, he proves himself a brilliant defender of the moral rights of the artist and the respect due to a work of art and its creator's wishes. The betrayal of both—often by their most passionate proponents—is the principal theme of this extraordinary work. Readers will be particularly intrigued by Kundera's impassioned attack on society's shifting moral judgments and persecutions of art and artists, from Mayakovsky to Rushdie.",1996.0,4.04,288.0,1247.0
9780060931360,0060931361,"Plato, Not Prozac!",Applying Eternal Wisdom to Everyday Problems,Lou Marinoff,Philosophy,http://books.google.com/books/content?id=CZgACbdCRB8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"If you're facing a dilemma -- whether it's handling a relationship, living ethically, dealing with a career change, or finding meaning in life -- the world's most important thinkers from centuries past will help guide you toward a solution compatible with your individual beliefs. From Kirkegaard's thoughts on coping with death to the I Ching's guidelines on adapting to change, Plato, Not Prozac! makes philosophy accessible and shows you how to use it to solve your everyday problems. Gone is the need for expensive therapists, medication, and lengthy analysis. Clearly organized by common problems to help you tailor Dr. Lou Marinoff's advice to your own needs, this is an intelligent, effective, and persuasive prescription for self-healing therapy that is giving psychotherapy a run for its money.",2000.0,3.39,320.0,836.0
9780060931803,0060931809,The Map That Changed the World,William Smith and the Birth of Modern Geology,Simon Winchester;Soun Vannithone,Biography & Autobiography,http://books.google.com/books/content?id=W523pFmahJQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An enthralling glimpse into the life of William Smith, a nineteenth-century engineer who became the founding father of modern geology, explores his creation of a lavish map detailing his discovery that rocks are comprised of many different layers amidst the backdrop of his wife's madness and debtors prison. By the author of The Professor and the Madman. Reprint.",2002.0,3.82,352.0,10159.0
9780060934439,0060934433,In the Footsteps of Mr. Kurtz,Living on the Brink of Disaster in Mobutu's Congo,Michela Wrong,History,http://books.google.com/books/content?id=etTVmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Known as ""the Leopard,"" the president of Zaire for thirty-two years, Mobutu Sese Seko, showed all the cunning of his namesake -- seducing Western powers, buying up the opposition, and dominating his people with a devastating combination of brutality and charm. While the population was pauperized, he plundered the country's copper and diamond resources, downing pink champagne in his jungle palace like some modern-day reincarnation of Joseph Conrad's crazed station manager. Michela Wrong, a correspondent who witnessed Mobutu's last days, traces the rise and fall of the idealistic young journalist who became the stereotype of an African despot. Engrossing, highly readable, and as funny as it is tragic, In the Footsteps of Mr. Kurtz assesses the acts of the villains and the heroes in this fascinating story of the Democratic Republic of Congo.",2002.0,3.98,338.0,2310.0
9780060934545,0060934549,Every Tongue Got to Confess,Negro Folk-tales from the Gulf States,Zora Neale Hurston,Literary Criticism,http://books.google.com/books/content?id=85HAlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Every Tongue Got to Confess is an extensive volume of African American folklore that Zora Neale Hurston collected on her travels through the Gulf States in the late 1920s. The bittersweet and often hilarious tales -- which range from longer narratives about God, the Devil, white folk, and mistaken identity to witty one-liners -- reveal attitudes about faith, love, family, slavery, race, and community. Together, this collection of nearly 500 folktales weaves a vibrant tapestry that celebrates African American life in the rural South and represents a major part of Zora Neale Hurston's literary legacy.",2002.0,3.98,320.0,312.0
9780060934910,0060934913,Kitchen Confidential,Adventures in the Culinary Underbelly,Anthony Bourdain,Biography & Autobiography,http://books.google.com/books/content?id=ehIM1VKYSWYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A New York City chef and author of Gone Bamboo recounts his,2000.0,4.06,302.0,2428.0
9780060935559,0060935553,One Matchless Time,A Life of William Faulkner,Jay Parini,Biography & Autobiography,http://books.google.com/books/content?id=oXpAlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"William Faulkner was a literary genius, and one of America's most important and influential writers. Drawing on previously unavailable sources -- including letters, memoirs, and interviews with Faulkner's daughter and lovers -- Jay Parini has crafted a biography that delves into the mystery of this gifted and troubled writer. His Faulkner is an extremely talented, obsessive artist plagued by alcoholism and a bad marriage who somehow transcends his limitations. Parini weaves the tragedies and triumphs of Faulkner's life in with his novels, serving up a biography that's as engaging as it is insightful.",2005.0,3.97,528.0,184.0
9780060936501,0060936509,The Best American Science Writing 2002,not available,Matt Ridley;Alan Lightman,Science,http://books.google.com/books/content?id=p8yA_CtoUx0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"If, as Matt Ridley suggests, science is simply the search for new forms of ignorance, then perhaps it follows that with science's advances come new questions. Will human genetic engineering become commonplace? Will human cloning ever be safe? Are there many universes? How much will the climate change during the coming century? The Best American Science Writing 2002 gathers top writers and scientists covering the latest developments in the fastest-changing, farthest-reaching scientific fields, such as medicine, genetics, computer technology, evolutionary psychology, cutting-edge physics, and the environment. Among this year's selections: In ""The Made-to-Order Savior,"" Lisa Belkin spotlights two desperate families seeking an unprecedented cure by a medically and ethically unprecedented means -- creating a genetically matched child. Margaret Talbot's ""A Desire to Duplicate"" reveals that the first human clone may very likely come from an entirely unexpected source, and sooner than we think. Michael Specter reports on the shock waves rippling through the field of neuroscience following the revolutionary discovery that adult brain cells might in fact regenerate (""Rethinking the Brain""). Christopher Dickey's ""I Love My Glow Bunny"" recounts with sly humor a peculiar episode in which genetic engineering and artistic culture collide. Natalie Angier draws an insightful contrast between suicide terrorists and rescue workers who risk their lives, and finds that sympathy and altruism have a definite place in the evolution of human nature, David Berlinski's ""What Brings a World into Being?"" ponders the idea of biology and physics as essentially digital technologies, exploring the mysteries encoded in the universe's smallest units, be they cells or quanta. Nicholas Wade shows how one of the most controversial books of the year, The Skeptical Environmentalist, by former Greenpeace member and self-described leftist Bjorn Lomborg, debunks some of the most cherished tenets of the environmental movement, suggesting that things are perhaps not as bad as we've been led to believe. And as a counterpoint, Darcy Frey's profile of George Divoky reveals a dedicated researcher whose love of birds and mystery leads to some sobering discoveries about global warming and forcefully reminds us of the unsung heroes of science: those who put in long hours, fill in small details, and take great trouble. In the end, the unanswered questions are what sustain scientific inquiry, open new frontiers of knowledge, and lead to new technologies and medical treatments. The Best American Science Writing 2002 is a series of exciting reports from science's front lines, where what we don't know is every bit as important as what we know.",2002.0,3.88,352.0,66.0
9780060936648,0060936649,Wittgenstein's Poker,The Story of a Ten-Minute Argument Between Two Great Philosophers,David Edmonds;John Eidinow,Philosophy,http://books.google.com/books/content?id=9Ahdyu6ygXEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On October 25, 1946, in a crowded room in Cambridge, England, the great twentieth-century philosophers Ludwig Wittgenstein and Karl Popper came face to face for the first and only time. The meeting -- which lasted ten minutes -- did not go well. Their loud and aggressive confrontation became the stuff of instant legend, but precisely what happened during that brief confrontation remained for decades the subject of intense disagreement. An engaging mix of philosophy, history, biography, and literary detection, Wittgenstein's Poker explores, through the Popper/Wittgenstein confrontation, the history of philosophy in the twentieth century. It evokes the tumult of fin-de-siécle Vienna, Wittgentein's and Popper's birthplace; the tragedy of the Nazi takeover of Austria; and postwar Cambridge University, with its eccentric set of philosophy dons, including Bertrand Russell. At the center of the story stand the two giants of philosophy themselves -- proud, irascible, larger than life -- and spoiling for a fight.",2002.0,3.75,368.0,2215.0
9780060954833,0060954833,African Nights,True Stories from the Author of I Dreamed of Africa,Kuki Gallmann,Biography & Autobiography,http://books.google.com/books/content?id=MRgktwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lyrical, beautifully written tales of life in Africa Africa evokes a deep sense of mystery. It is a place that retains what most of the world has lost: space, roots, traditions, awesome beauty, true wilderness, rare animals, and extraordinary people. In this wonderful and haunting collection of stories, Kuki Gallmann writes of her life in Africa, where every day brings challenge and adventure. African Nights is a treasury of memories, in which fascinating people and places are brought to life. The healing powers Africa can have on those who embrace the land as a place of mystery, superstition, danger, and beauty.",2000.0,3.8,336.0,302.0
9780060955427,0060955422,The Autobiography of Mark Twain,not available,Charles Neider,Biography & Autobiography,http://books.google.com/books/content?id=5GboyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Mark Twain's autobiography is a classic of American letters, to be ranked with the autobiographies of Benjamin Franklin and Henry Adams.... It has the marks of greatness in it--style, scope, imagination, laughter, tragedy.""--From the Introduction by Charles Neider Mark Twain was a figure larger than fife: massive in talent, eruptive in temperament, unpredictable in his actions. He crafted stories of heroism, adventure, tragedy, and comedy that reflected the changing America of the time, and he tells his own story--which includes sixteen pages of photos--with the same flair he brought to his fiction. Writing this autobiography on his deathbed, Twain vowed to he ""free and frank and unembarrassed"" in the recounting of his life and his experiences. Twain was more than a match for the expanding America of riverboats, gold rushes, and the vast westward movement, which provided the material for his novels and which served to inspire this beloved and uniquely American autobiography.",2000.0,4.05,508.0,2746.0
9780060957605,0060957603,The Making of a Philosopher,My Journey Through Twentieth-Century Philosophy,Colin McGinn,Philosophy,http://books.google.com/books/content?id=oJ5dL5OmXHMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Part memoir, part study, The Making of a Philosopher is the self–portrait of a deeply intelligent mind as it develops over a life on both sides of the Atlantic. The Making of a Philosopher follows Colin McGinn from his early years in England reading Descartes and Anselm, to his years in the states, first in Los Angeles, then New York. McGinn presents a contemporary academic take on the great philosophical figures of the twentieth century, including Bertrand Russell, Jean–Paul Sartre, and Noam Chomsky, alongside stories of the teachers who informed his ideas and often became friends and mentors, especially the colorful A.J. Ayer at Oxford. McGinn's prose is always elegant and probing; students of contemporary philosophy and the general reader alike will absorb every page.",2003.0,3.65,256.0,219.0
9780060973339,0060973331,Fear of Falling,The Inner Life of the Middle Class,Barbara Ehrenreich,Social Science,http://books.google.com/books/content?id=votxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A brilliant and insightful work that examines the insecurities of the middle class in an attempt to explain its turn to the right during the past two decades, ""Fear of Falling"" traces the myths about the middle class to their roots in the ambitions and anxieties that torment the group and that have led to its retreat from a responsible leadership role.",1989.0,3.9,292.0,321.0
9780060974688,0060974680,Europe,A History,Norman Davies,History,http://books.google.com/books/content?id=4StZDvPCcJEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Here is a masterpiece of historical narrative that stretches from the Ice Age to the Atomic Age, as it tells the story of Europe, East and West. Norman Davies captures it all-the rise and fall of Rome, the sweeping invasions of Alaric and Atilla, the Norman Conquests, the Papal struggles for power, the Renaissance and the Reformation, the French Revolution and the Napoleonic Wars, Europe's rise to become the powerhouse of the world, and its eclipse in our own century, following two devastating World Wars. This is the first major history of Europe to give equal weight to both East and West, and it shines light on fascinating minority communities, from heretics and lepers to Gypsies, Jews, and Muslims. It also takes an innovative approach, combining traditional narrative with unique features that help bring history alive: 299 time capsules scattered through the narrative capture telling aspects of an era. 12 -snapshots offer a panoramic look at all of Europe at a particular moment in history. Full coverage of Eastern Europe—100 maps and diagrams, 72 black-and-white plates.All told, Davies’'s Europe represents one of the most important and illuminating histories to be published in recent years.",1998.0,4.17,1392.0,3242.0
9780060977665,0060977663,Courtesans and Fishcakes,The Consuming Passions of Classical Athens,James Davidson,History,http://books.google.com/books/content?id=4rycPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,This fascinating reappraisal by a rising young scholar takes readers inside a Classical Athens that--contrary to conventional history--savored its pleasures as much as anyone.,1999.0,3.93,416.0,332.0
9780060987466,0060987464,The Long Hard Road Out of Hell,not available,Marilyn Manson;Neil Strauss,Biography & Autobiography,http://books.google.com/books/content?id=Z05eRmEpdjIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The best-selling autobiography of America’s most controversial celebrity icon, Marilyn Manson (with a bonus chapter not in the hardcover). In his twenty-nine years, rock idol Manson has experienced more than most people have (or would want to) in a lifetime. Now, in his shocking and candid memoir, he takes readers from backstage to gaol cells, from recording studios to emergency rooms, from the pit of despair to the top of the charts, and recounts his metamorphosis from a frightened Christian schoolboy into the most feared and revered music superstar in the country. Illustrated with dozens of exclusive photographs and featuring a behind-the-scenes account of his headline-grabbing Dead to the World tour.",1999.0,3.89,275.0,21524.0
9780060989156,0060989157,The Dirt,Confessions of the World's Most Notorious Rock Band,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,http://books.google.com/books/content?id=6vcYiMsZaR0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The most influential, enduring, and iconic metal band of the 1980's reveals everything a tell-all of epic proportions. This unbelievable autobiography explores the rebellious lives of four of the most influential icons in American rock history. Motley Crue was the voice of a barely pubescent Generation X, the anointed high priests of backward-masking pentagram rock, pioneers of Hollywood glam, and the creators of MTV's first ""power ballad."" Their sex lives claimed celebrities from Heather Locklear to Pamela Anderson to Donna D'Errico. Their scuffles involved everyone from Axl Rose to 2LiveCrew. Their hobbies have included collecting automatic weapons, cultivating long arrest records, pushing the envelope of conceivable drug abuse, and dreaming up backstage antics that would make Ozzy Osbourne blanch with modesty. Provocatively written and brilliantly designed, this book includes over 100 photos, many never before published, for the most exciting and insightful look ever into the Crue.",2002.0,4.16,431.0,26377.0
9780061127915,0061127914,By Myself and Then Some,not available,Lauren Bacall,Biography & Autobiography,http://books.google.com/books/content?id=nHXXmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The epitome of grace, independence, and wit, Lauren Bacall continues to project an audacious spirit and pursue on-screen excellence. The product of an extraordinary mother and a loving extended family, she produced, with Humphrey Bogart, some of the most electric and memorable scenes in movie history. After tragically losing Bogart, she returned to New York and a brilliant career in the theatre. A two-time Tony winner, she married and later divorced her second love, Jason Robards, and never lost sight of the strength that made her a star. Now, thirty years after the publication of her original National Book Award–winning memoir, Bacall has added new material to her inspiring history. In her own frank and beautiful words, one of our most enduring actresses reveals the remarkable true story of a lifetime so rich with incident and achievement that Hollywood itself would be unable to adequately reproduce it.",2006.0,3.95,512.0,2720.0
9780061131523,0061131520,The White Masai,not available,Corinne Hofmann,Biography & Autobiography,http://books.google.com/books/content?id=uatyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A former European entrepreneur recounts how she fell in love with Lketinga, a Masai warrior, while vacationing in Kenya and subsequently uprooted her life to move to the isolated bush country of Africa, where they worked to build a relationship in spite of difficult language and cultural barriers. 30,000 first printing.",2006.0,3.43,320.0,4314.0
9780061137457,0061137456,Howl,"original draft facsimile, transcript, and variant versions, fully annotated by author, with contemporaneous correspondence, account of first public reading, legal skirmishes, precursor texts, and bibliography",Allen Ginsberg;Barry Miles,Poetry,http://books.google.com/books/content?id=t-wfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A special anniversary edition of the first publication of the seminal poetic work describes the background of Ginsberg's famous poem, and discusses literary allusions, and techniques of composition used in creating the controversial work. Reprint.",2006.0,4.22,208.0,176.0
9780061144899,0061144894,When the Heart Waits,Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,Religion,http://books.google.com/books/content?id=JlP91ei7BGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the Bestselling Author of The Secret Life of Bees, an Inspiring Autobiographical Account of Personal Pain, Spiritual Awakening, and Divine Grace Blending her own experiences with an intimate grasp of spirituality, Sue Monk Kidd relates the passionate and moving tale of her spiritual crisis, when life seemed to have lost meaning and her longing for a hasty escape from the pain yielded to a discipline of ""active waiting."" This PLUS edition includes a reader's guide.",2006.0,4.17,240.0,2141.0
9780061196676,0061196673,Smithsonian Intimate Guide to Human Origins,not available,Carl Zimmer,Social Science,http://books.google.com/books/content?id=xufuSNGg_vMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the savannas of Africa to modern-day labs for biomechanical analysis and molecular genetics, Smithsonian Intimate Guide to Human Origins reveals how anthropologists are furiously redrawing the human family tree. Their discoveries have spawned a host of new questions: Should chimpanzees be included as a human species? Was it the physical difficulty of human childbirth that encouraged the development of social groups in early human species? Did humans and Neanderthals interbreed? Why did humans supplant Neanderthals in the end? In answering such questions, Smithsonian Intimate Guide to Human Origins sheds new light on one of the most important questions of all: What makes us human?",2007.0,4.0,176.0,167.0
9780061208492,0061208493,The Complete C. S. Lewis Signature Classics,not available,C. S. Lewis,Religion,http://books.google.com/books/content?id=JaC0_Yvffr0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Seven Spiritual Masterworks by C. S. Lewis This classic collection includes C. S. Lewis's most important spiritual works: Mere Christianity The Screwtape Letters The Great Divorce The Problem of Pain Miracles A Grief Observed The Abolition of Man,2007.0,4.61,746.0,873.0
9780061238239,0061238236,The End of Days,Armageddon and Prophecies of the Return,Zecharia Sitchin,History,http://books.google.com/books/content?id=EIBljQDVR-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A conclusion to the Earth Chronicles series brings the author's theories about the Anunnaki extraterrestrial beings full circle, addressing key questions pertaining to such topics as the biblical Daniel, Sir Isaac Newton, and the end of the world.",2007.0,4.06,336.0,470.0
9780061312113,0061312118,The Blue and Brown Books,not available,Ludwig Wittgenstein,Philosophy,http://books.google.com/books/content?id=ffiZugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"These works, as the sub-title makes clear, are unfinished sketches for Philosophical Investigations, possibly the most important and influential philosophical work of modern times. The 'Blue Book' is a set of notes dictated to Witgenstein's Cambridge students in 1933-1934: the 'Brown Book' was a draft for what eventually became the growth of the first part of Philosophical Investigations. This book reveals the germination and growth of the ideas which found their final expression in Witgenstein's later work. It is indispensable therefore to students of Witgenstein's thought and to all those who wish to study at first-hand the mental processes of a thinker who fundamentally changed the course of modern philosophy.",1965.0,4.13,208.0,1970.0
9780061833076,006183307X,The Wit and Wisdom of Winston Churchill,A Treasury of More than 1000 Quotations,James C. Humes,History,http://books.google.com/books/content?id=00d_C6Yf9m0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An extremely entertaining compendium of bon mots, anecdotes, and trivia about Winston Churchill from a leading Churchill lecturer and performer -- useful for speakers, students, of history, and World War II buffs, as well as general readers.",2009.0,0.0,0.0,0.0
9780061977664,0061977667,The Collected Poetry of Nikki Giovanni,1968-1998,Nikki Giovanni,Poetry,http://books.google.com/books/content?id=nCgrT6bx0Y8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This omnibus covers Nikki Giovanni's complete work of poetry from 1967–1983. THE COLLECTED POETRY OF NIKKI GIOVANNI will include the complete volumes of five adult books of poetry: Black Feeling Black Talk/Black Judgement, My House, The Women and the Men, Cotton Candy on a Rainy Day, and Those Who Ride the Night Winds. Nikki self–published her first book Black Feeling, Black Talk/BlackJudgement in 1969, selling 10,000 copies; William Morrow published in 1970. Know for its iconic revolutionary phrases, it is heralded as one of the most important volumes of modern African–American poetry and is considered the seminal volume of Nikki's body of work. My House (Morrow 1972) marks a new dimension in tone and philosphy––This is Giovanni's first foray into the autobiographical. In The Women and the Men (Morrow 1975), Nikki displays her compassion for the people, things and places she has encountered––She reveres the ordinary and is in search of the extraordinary. Cotton Candy on a Rainy Day (Morrow 1978) is one of the most poignant and introspective of all Giovanni's collections. These poems chronicle the drastic change that took place during the 1970s––when the dreams of the Civil Rights era seemed to have evaporated. Those Who Ride the Night Winds (Morrow 1983) is devoted to ""the day trippers and midnight cowboys,"" the ones who have devoted their lives to pushing the limits of the human condition and shattered the constraints of the stautus quo.",2009.0,0.0,0.0,0.0
